System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail
S,1,0,0,SHIP04S,0.0719809,4.0018e-08,1.79871e+06,74,1458,19139,317,1.93873e-08,4.43821e-05,0.371978,24
S,1,0,0,SHIP08L,0.11779,6.17006e-08,1.90906e+06,97,2683,60603,934,4.23272e-08,6.29318e-05,2.73726,41
S,1,0,0,SHIP08S,0.0144147,7.50728e-09,1.9201e+06,77,1528,46276,801,7.72061e-09,8.00813e-05,1.2787,45
S,1,0,0,SHIP12L,0.00602459,4.09784e-09,1.47019e+06,129,4135,108712,1966,7.88147e-09,0.000102245,6.39214,62
S,1,0,0,SHIP12S,0.00448774,3.01345e-09,1.48924e+06,103,2774,64543,1285,1.16358e-08,0.000139724,2.54264,54
S,1,0,0,SIERRA,5.7057,3.70636e-07,1.53944e+07,38,311,10453,222,5.12034e-07,6.17645e-05,0.283999,1
S,1,0,0,STAIR,1.30673e-05,5.20058e-08,-251.267,56,491,3834,480,3.44075e-08,4.09851e-07,0.414464,0
S,1,0,0,STANDATA,0.00128182,1.01918e-06,1257.7,31,195,6153,183,3.81863e-07,4.64949e-08,0.0996888,0
S,1,0,0,STANDMPS,0.000639964,4.55161e-07,1406.02,35,276,8148,274,1.30735e-07,1.59003e-07,0.174519,0
K,1,0,0,STOCFOR1,0.253215,6.15616e-06,-41132.2,41,201,0,122,3.51877e-07,7.84562e-07,0.00806946,0
K,1,0,0,STOCFOR2,8.04721e-09,2.0621e-13,-39024.4,190,5674,0,1440,9.52547e-07,3.38705e-05,2.35204,0
S,1,0,0,TUFF,0.000913628,0.00312728,0.293061,297,9852,17244,1950,6.89296e-07,5.77535e-06,1.28067,0
S,1,0,0,VTP.BASE,0.356836,2.74846e-06,129832,49,527,7494,243,9.07454e-07,1.13363e-06,0.0556069,0
S,1,0,0,WOOD1P,1.27227e-05,8.81747e-06,1.44292,27,103,2509,98,6.61974e-07,7.1764e-08,0.310289,0
S,1,0,0,WOODW,3.42665e-08,2.62684e-08,1.30448,45,320,8931,320,5.05015e-07,6.44056e-07,1.66201,0
