name,ssn_solved,ssn_status,pmm_iter,ssn_iter,ssn_obj,pmm_tol_achieved,ssn_time,ssn_peak_ram_mb,qpalm_solved,qpalm_status,qpalm_iter,qpalm_obj,qpalm_tol_achieved,qpalm_time,qpalm_peak_ram_mb,osqp_solved,osqp_status,osqp_iter,osqp_obj,osqp_tol_achieved,osqp_time,osqp_peak_ram_mb
CONT-200,1,0,59,117,-4.684462726180853,9.967669199524562e-07,7.351178541779518,359.375,1,1,15,-4.685169773951925,3.576763681920993e-06,1.6506555825471878,292.421875,,,,,,,
CONT-201,1,0,180,900,0.19327297976890634,9.996593768357045e-07,140.22954762540758,365.9375,1,1,259,0.19279824182686078,4.322064965268616e-06,61.23319383338094,295.125,,,,,,,
CONT-300,1,0,196,937,0.19464300416638303,9.99523966809394e-07,652.5253474172205,681.484375,1,1,353,0.19248381706929601,6.529699342806546e-06,309.2919239997864,566.1875,,,,,,,
CVXQP1L,0,4,295,3541,100115085.57894485,0.0756882818760841,1172.7789984568954,174.21875,1,1,658,108704328.45186584,6.945096821198149e-06,242.8410032503307,187.0,,,,,,,
CVXQP1M,0,4,3473,47595,1077659.1395808063,0.002486008504414892,652.3179192077368,170.484375,1,1,80,1087510.493655371,4.380016277314255e-06,0.13898262567818165,103.625,,,,,,,
CVXQP1S,1,0,281,5101,11590.70147845049,9.998305753151068e-07,0.5356843322515488,102.09375,1,1,37,11590.718060485195,1.6596443610794598e-06,0.0011252500116825104,100.84375,,,,,,,
CVXQP2L,0,4,476,6565,81703881.96639982,0.03774257166598563,1201.2035482488573,181.9375,1,1,113,81842458.0463713,3.2332649758278393e-06,40.064564291387796,171.09375,,,,,,,
CVXQP2M,0,4,14005,261319,820155.2756409731,2.7682532345604603e-06,1064.5834944993258,151.046875,1,1,60,820155.4131144702,6.176776024359544e-06,0.08653624914586544,102.0,,,,,,,
CVXQP2S,1,0,93,1148,8120.931439287355,9.604376952426523e-07,0.10767058283090591,100.0625,1,1,35,8120.940202582617,2.9894142578729133e-06,0.0008593332022428513,98.796875,,,,,,,
CVXQP3L,0,4,271,2645,105212310.16519433,0.07495223631709465,1202.6036554574966,301.359375,1,1,257,115711106.85936986,6.824776416249557e-06,156.58879354037344,195.4375,,,,,,,
CVXQP3M,0,4,6110,49476,1139990.0106963734,0.0072559954959896195,1200.0640102494508,180.921875,1,1,113,1362828.3891311693,7.10070703294005e-07,0.21145791746675968,103.609375,,,,,,,
CVXQP3S,1,0,23093,459289,11943.419979146489,9.994351285537574e-07,32.7509587071836,100.15625,1,1,39,11943.432069999924,4.6227034311563386e-07,0.0013202931731939316,98.640625,,,,,,,
DPKLO1,1,0,9,19,0.37009620713734165,1.915666286825226e-07,0.0008564162999391556,98.46875,1,1,16,0.3700956934578646,2.4540032244170693e-06,0.001466456800699234,98.5625,,,,,,,
DTOC3,1,0,406,7403,235.28639847593544,5.496994887726559e-07,12.60659670829773,120.953125,1,1,126,235.25594524888942,3.182060531791293e-07,0.23984641581773758,138.546875,,,,,,,
DUAL1,1,0,14,19,0.03501287745745001,6.142389861680769e-07,0.007157541811466217,100.03125,1,1,21,0.035012946828452435,5.92393485573422e-07,0.0013587083667516708,100.40625,,,,,,,
DUAL2,1,0,12,35,0.033733632635475984,9.807535788416644e-07,0.005552085116505623,98.453125,1,1,13,0.03373367841103344,5.526352853634779e-08,0.0011372920125722885,98.46875,,,,,,,
DUAL3,1,0,40,43,0.1357556921996167,9.091273854723465e-07,0.019383249804377556,98.671875,1,1,15,0.13575574835334817,9.67961809123614e-07,0.0016536246985197067,99.671875,,,,,,,
DUAL4,1,0,59,165,0.7460897729360562,9.043685089309992e-07,0.023091541603207588,99.34375,1,1,15,0.746090432363693,5.948457377901318e-07,0.0007357504218816757,98.578125,,,,,,,
DUALC1,1,0,25,276,6020.1987743777445,6.618970453840377e-07,0.007522625848650932,98.546875,1,1,23,6138.272441608012,3.272041525947667,0.0005639605224132538,98.46875,,,,,,,
DUALC2,1,0,11,71,3551.3399021136406,5.657503397544262e-08,0.0018245000392198563,98.515625,1,1,15,3550.8232574552844,0.06332185420299345,0.0004079993814229965,98.9375,,,,,,,
DUALC5,1,0,32,298,427.231473707311,9.89289690671995e-07,0.008414626121520996,98.46875,1,1,8,426.5879814024128,0.0004881111785337967,0.000331999734044075,98.796875,,,,,,,
DUALC8,1,0,72,1180,18307.823625858222,9.110175435180294e-07,0.05671329237520695,98.53125,1,1,16,18304.442542577093,0.0003570508417570405,0.000843999907374382,98.734375,,,,,,,
EXDATA,1,0,51,744,-141.84343036671547,9.392610026409755e-07,470.96639608219266,410.375,1,1,260,-141.84343218931332,3.644195818191382e-06,5.508504834026098,530.15625,,,,,,,
GENHS28,1,0,6,7,0.927173736397646,6.372424206575055e-07,0.00012541748583316803,98.46875,1,1,6,0.9271741307488796,3.227389637108796e-07,7.458403706550598e-05,100.6875,,,,,,,
GOULDQP2,1,0,24,143,0.00018807451125831036,8.538895713584984e-07,0.022403042763471603,98.671875,1,1,39,0.00018426838465668575,2.51165804509807e-05,0.0070412904024124146,98.5,,,,,,,
GOULDQP3,1,0,9,50,2.0627866204631573,4.172563076365458e-07,0.02008279226720333,99.703125,1,1,33,-29647.83721752834,8.692746439309974e-06,0.005307750776410103,98.515625,,,,,,,
HS118,1,0,14,164,664.8204500127247,5.411546676156441e-07,0.0014405399560928345,98.578125,1,1,31,664.8204414358344,1.2980326753009308e-05,0.000177750363945961,98.75,,,,,,,
HS21,1,0,5,7,-99.95999999768408,6.713962610959906e-08,7.962435483932495e-05,98.71875,1,1,7,0.03999999995026208,1.2434472960245361e-09,5.616620182991028e-05,98.65625,,,,,,,
HS268,1,0,63,561,-1.2519121810328215e-06,9.465308328523263e-07,0.0021464992314577103,99.671875,1,1,7,-14462.99960512596,0.006628919754078942,6.162561476230621e-05,98.5625,,,,,,,
HS35,1,0,5,10,0.11110753924670647,9.693714910882225e-07,0.00014916621148586273,98.515625,1,1,7,-8.888888905998193,7.699187213620706e-08,5.945935845375061e-05,100.09375,,,,,,,
HS35MOD,1,0,7,25,0.25000098049587827,2.901792245999216e-07,0.00024025142192840576,98.71875,1,1,5,-8.749997346908247,2.653084714032694e-06,5.504302680492401e-05,101.171875,,,,,,,
HS51,1,0,9,10,2.600349126247181e-06,3.3357133199618904e-07,0.000115957111120224,98.671875,1,1,1,-5.999999999999967,1.199999934421039e-06,5.237571895122528e-05,100.53125,,,,,,,
HS52,1,0,10,18,5.326642251880523,3.7874134297632465e-07,0.0001337919384241104,98.578125,1,1,6,-0.6733533767373755,1.0628607886873243e-07,5.804188549518585e-05,98.484375,,,,,,,
HS53,1,0,8,12,4.093021321729785,1.9322067646015724e-07,0.0001202896237373352,98.65625,1,1,6,-1.9069769803178196,3.7216970211696554e-08,6.254203617572784e-05,100.609375,,,,,,,
HS76,1,0,5,11,-4.681818584540838,2.2856708053326953e-07,0.0001689177006483078,98.65625,1,1,11,-4.6818181901781415,1.8232286684204177e-08,6.512552499771118e-05,98.78125,,,,,,,
HUES-MOD,1,0,2185,21445,34824463.87334557,3.1844909389873694e-07,14.452106041833758,109.515625,1,1,20,34824463.77527447,0.005057961706321813,0.02317158319056034,98.671875,,,,,,,
HUESTIS,1,0,6,15,348244616720.75903,8.242012050259715e-07,0.01676945760846138,98.46875,1,1,44,348244638718.7173,0.006443815615589654,0.03885500133037567,120.21875,,,,,,,
KSIP,1,0,28,312,0.5757966459487627,6.73890152654936e-07,0.19716620817780495,161.78125,1,1,31,0.575797289323914,1.752831657486631e-06,0.004898291081190109,98.578125,,,,,,,
LASER,1,0,22,98,2409601.298629518,6.164943503110972e-07,0.04941679164767265,98.53125,1,1,68,2409601.325399873,0.00013482811169295047,0.017862292006611824,98.671875,,,,,,,
LISWET1,1,0,52,366,25.002783076849482,8.768008569981484e-07,1.048469666391611,129.328125,1,1,1708,-2500.1553386984506,1.022727959843918e-06,4.267441999167204,131.171875,,,,,,,
