System,infeas_detected,opt_status,name,PMM_iter,SSN_iter,PMM_res,SSN_res,solving_time_sec,linesearch_fails
S,1,-2,CHEMCOM,21,67,1e+20,1e+20,0.027806,0
S,1,-2,CPLEX1,51,1353,1e+20,1e+20,16.8796,42
K,0,0,CPLEX2,30,110,1.11775e-07,4.30865e-09,0.0143535,0
S,1,-2,EX72A,30,48,1e+20,1e+20,0.00780637,0
S,1,-2,EX73A,34,55,1e+20,1e+20,0.00902821,0
S,1,-2,GALENET,57,734,1e+20,1e+20,0.00359158,0
S,0,1,GOSH,1000,30294,0.000497821,2.70533e-09,201.871,864
K,0,1,GRAN,1000,39277,7.59988e-05,0.00129626,17.46,256
S,1,-2,GREENBEA,50,1364,1e+20,1e+20,10.1088,2
K,1,-2,ITEST2,7,10,1e+20,1e+20,0.000114667,0
K,1,-2,ITEST6,6,10,1e+20,1e+20,0.000117,0
S,1,-2,KLEIN1,73,513,1e+20,1e+20,0.0284486,0
K,1,-2,KLEIN2,72,916,1e+20,1e+20,0.131729,0
K,1,-2,KLEIN3,68,497,1e+20,1e+20,0.312662,0
S,1,-2,MONDOU2,18,81,1e+20,1e+20,0.0259932,0
S,1,-2,PANG,116,3731,1e+20,1e+20,0.592378,41
S,1,-2,PILOT4I,63,1215,1e+20,1e+20,1.04184,5
S,0,1,QUAL,1000,38045,8.53739e-05,0.001775,11.6923,2
S,1,-2,REACTOR,53,391,1e+20,1e+20,0.141839,0
S,1,-2,REFINERY,42,188,1e+20,1e+20,0.0928923,0
S,0,1,VOL1,1000,38270,0.000148208,0.00159762,11.428,24
S,1,-2,WOODINFE,42,147,1e+20,1e+20,0.00414517,0
