System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail
M,1,0,0,CONT-200,0.000339895,7.25515e-05,-4.68454,79,416,1580,87,9.00035e-07,1.89386e-08,36.1254,0
M,0,4,0,CONT-201,0.215354,1.11882,-0.0228711,34,232,6590,232,0.00129701,4.17205e-05,60.2764,0
M,0,4,0,CONT-300,0.192113,1.00314,-0.000600928,20,112,3212,112,0.00145065,0.000364022,64.9073,0
M,0,4,0,CVXQP1L,1.08579e+08,0.998846,125412,5,16,8000,32,0.795108,5.11532e-07,69.8328,0
M,0,4,0,CVXQP1M,72386.6,0.0665617,1.01512e+06,127,899,62991,179,0.0394784,0.00295079,60.9562,1
M,1,0,0,CVXQP1S,0.0163715,1.41246e-06,11590.7,433,3241,38249,187,9.90692e-07,3.5011e-05,0.572696,0
M,0,4,0,CVXQP2L,8.17473e+07,0.998838,95140.7,6,18,9000,36,0.824309,3.47712e-07,77.4016,0
M,1,4,0,CVXQP2M,12.0608,1.47055e-05,820143,207,1529,128959,176,0.00021318,0.00470613,60.1707,0
M,1,0,0,CVXQP2S,0.00571127,7.03277e-07,8120.93,45,230,4930,55,6.03766e-07,3.27565e-06,0.0403594,0
M,0,4,0,CVXQP3L,1.15536e+08,0.99849,174749,5,13,6500,26,0.76,1.48206e-07,71.5186,0
M,0,4,0,CVXQP3M,294174,0.215856,1.06865e+06,102,711,48206,160,0.0455383,0.00191669,60.5458,3
M,1,0,0,CVXQP3S,0.0120138,1.00589e-06,11943.4,1087,8511,209575,1029,9.98771e-07,1.59798e-05,3.84074,0
M,1,0,0,DPKLO1,2.85651e-07,7.7183e-07,0.370096,8,9,13,9,2.41351e-07,3.98926e-07,0.00234075,0
M,1,0,0,DTOC3,0.0212827,9.04638e-05,235.241,414,3272,9756,377,9.50563e-07,2.48973e-06,8.80591,0
M,1,0,0,DUAL1,9.18193e-08,2.62244e-06,0.0350129,12,23,315,16,6.32881e-07,3.57766e-07,0.00967158,0
M,1,0,0,DUAL2,1.28346e-08,3.80468e-07,0.0337337,13,33,214,15,8.76055e-07,9.44578e-07,0.00717608,0
M,1,0,0,DUAL3,1.32595e-07,9.76716e-07,0.135756,19,35,447,24,8.12406e-07,1.97165e-07,0.0242218,0
