agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
1,0,0,DPKLO1,5.03263e-08,1.35982e-07,0.370096,17,13,2.67255e-05,6.89396e-06,0.0801202
0,3,0,DUALC1,4.20578e+06,683.283,-4.19963e+06,400,766,197.716,0.0133772,1.03661
1,0,0,GOULDQP3,0.000561529,0.000272219,2.06222,13,21,6.11117e-05,3.24085e-06,0.873184
0,0,0,HS268,0.37376,652165,0.373761,6,19,6.5306e-05,0.0327015,0.0088349
0,0,0,LISWET1,11.1199,0.307838,25.0025,42,62,7.53612e-06,0.000727043,21.1404
1,0,0,LISWET2,0.00332333,0.000132943,24.9948,21,22,9.14142e-05,0.0209258,16.3228
0,2,1,POWELL20,8.56917e+09,0.164508,4.35204e+10,28,1060,7495.48,3.76874e+06,50.959
1,0,0,PRIMAL1,1.00122e-06,2.85958e-05,-0.035012,7,9,9.19852e-06,0.000199047,0.0914319
1,2,0,PRIMALC1,19.5536,0.00317673,-6174.8,40,1034,0.389346,0.000176588,0.648049
1,0,0,QAFIRO,2.93117e-06,1.8426e-06,-1.59078,25,100,6.13081e-05,0.00112254,0.0724619
0,2,0,QFORPLAN,8.233e+08,0.110412,6.63333e+09,105,1005,2469.51,0.602959,11.5864
0,2,0,QGROW15,9.20012e+07,0.90469,-9.69245e+06,194,1000,0.445471,2.88918e-07,18.2875
0,2,0,QPCBOEI2,887308,0.10858,7.28465e+06,147,1001,0.389774,0.152679,1.7335
1,0,0,QPCSTAIR,0.0545286,8.78871e-09,6.20439e+06,44,193,4.39682e-05,2.12043e-05,2.19786
1,2,0,QPILOTNO,8920.55,0.00188651,4.71967e+06,173,1000,334.379,0.144579,112.237
1,0,0,QSCORPIO,0.280544,0.000149185,1880.23,101,380,9.51276e-05,0.0346443,3.54347
1,0,0,AUG2DQP,52.1187,8.35636e-06,6.23696e+06,35,97,5.26727e-05,3.99026e-07,31.881
1,0,0,CONT-050,0.0185462,0.00406372,-4.5453,33,138,8.17073e-05,7.14448e-06,8.60232
1,0,0,DPKLO1,5.03263e-08,1.35982e-07,0.370096,17,13,2.67255e-05,6.89396e-06,0.0866232
0,2,0,DUALC1,4.07336e+06,661.769,-4.0672e+06,221,1004,153.763,1.8995,1.04728
1,0,0,GOULDQP3,0.000561529,0.000272219,2.06222,13,21,6.11117e-05,3.24085e-06,1.09708
0,0,0,HS268,0.37376,652165,0.373761,6,19,6.5306e-05,0.0327015,0.010091
0,0,0,LISWET1,11.1199,0.307838,25.0025,42,62,7.53612e-06,0.000727043,21.8458
1,0,0,LISWET2,0.00332333,0.000132943,24.9948,21,22,9.14142e-05,0.0209258,16.4227
0,2,1,POWELL20,8.56917e+09,0.164508,4.35204e+10,28,1060,7495.48,3.76874e+06,51.1758
1,0,0,PRIMAL1,1.00122e-06,2.85958e-05,-0.035012,7,9,9.19852e-06,0.000199047,0.0989269
1,2,0,PRIMALC1,19.5536,0.00317673,-6174.8,40,1034,0.389346,0.000176588,0.681828
1,0,0,QAFIRO,2.93117e-06,1.8426e-06,-1.59078,25,100,6.13081e-05,0.00112254,0.0743274
0,2,0,QFORPLAN,8.23316e+08,0.110414,6.63332e+09,79,1005,2838.65,0.19172,11.0312
0,2,0,QGROW15,9.84933e+07,0.96853,-3.2003e+06,62,1007,0.445472,7.4718e-06,16.9618
0,2,0,QPCBOEI2,767360,0.0939016,7.4046e+06,159,1003,28.5241,0.13002,1.71056
1,0,0,QPCSTAIR,0.0545286,8.78871e-09,6.20439e+06,44,193,4.39682e-05,2.12043e-05,2.17406
1,2,0,QPILOTNO,9353.65,0.00197811,4.71923e+06,33,1008,446.113,0.467347,95.8928
1,2,0,QSCORPIO,0.248733,0.000132269,1880.26,272,1001,0.000676449,0.209677,6.83556
0,2,0,QSCRS8,18.8772,0.0208689,885.683,101,1006,0.00557657,0.140931,23.6262
1,0,0,QSCSD1,0.00013459,1.55297e-05,8.6668,21,57,6.03478e-05,0.000159216,1.16207
0,2,0,QSCTAP1,1610.31,1.13734,-194.453,138,1003,17.5055,405.081,16.5693
0,2,0,QSHARE1B,13422.5,0.0186403,733501,74,1064,0.000512436,2.06536e-05,2.33681
1,3,0,QSTANDAT,0.802329,0.000125133,6411.04,400,813,0.00754387,1.13069,32.7358
1,0,0,TAME,2.5001e-11,inf,2.5001e-11,16,10,8.77041e-05,2.47533e-11,0.0136739
0,0,0,VALUES,0.0852983,0.0610748,-1.31132,17,51,5.4792e-05,0.000500514,0.340424
0,2,0,YAO,189.153,0.956749,8.55092,41,1067,3.14501,31.5097,11.9866
