System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
K,1,3,0,S268,0.00125409,2188.23,-0.00125352,71,617,0.0012097,2.74485e-07,0.126776

K,1,3,0,S268,0.00125409,2188.23,-0.00125352,71,617,0.0012097,2.74485e-07,0.0974551

K,1,0,0,S268,7.32789e-05,127.862,-7.27058e-05,21,196,5.94495e-05,6.26481e-08,0.0372513


S,1,2,0,CVXQP1S,7.2918,0.000629107,11583.4,1156,30030,0.000469073,4.14095e-07,141.335
S,1,1,0,CVXQP3S,1.58621,0.000132811,11941.8,3000,20071,0.000187719,1.47769e-07,146.163
K,0,2,0,DUALC2,115595,32.5501,-112044,301,30057,0.434011,38.7489,12.4397
K,1,1,0,DUALC5,0.10896,0.000255036,427.123,3000,13532,0.000294875,4.11674e-07,9.67579
K,1,2,0,PRIMALC1,38.9785,0.00633256,-6116.27,390,30197,0.000287299,0.000959911,31.2133
S,1,0,0,PRIMALC8,13.0376,0.00071207,-18296.4,422,21064,7.23271e-05,0.00475289,23.6568
S,1,2,0,QBRANDY,1.48375,5.22906e-05,28376.6,303,30035,0.00884191,3.38788e-05,79.4443
S,1,0,0,QGROW7,859.755,2.00883e-05,-4.27979e+07,878,3791,7.17225e-06,1.25456e-06,30.293
K,1,2,0,QISRAEL,96.9612,3.82522e-06,2.53477e+07,318,30176,0.00943394,27.8256,76.5296
S,1,0,0,QPCBLEND,0.000517154,0.0659421,-0.00835969,107,12235,7.06865e-05,7.48684e-07,7.67984
K,0,2,0,QSHARE2B,2985.97,0.255131,8717.72,233,30016,0.146499,6.84182e-05,34.4588
S,1,3,0,S268,0.000266452,464.926,-0.000265879,49,1329,0.000234134,1.46957e-06,0.0619533

S,1,2,0,CVXQP1S,5.45619,0.000470738,11585.3,1624,50021,0.000348865,2.95341e-07,215.916
S,1,1,0,CVXQP3S,1.34459,0.00011258,11942.1,4000,27761,0.000163534,9.94624e-08,194.366
K,0,2,0,DUALC2,97433.9,27.436,-93882.5,401,50029,0.374676,191.202,19.8799
K,1,1,0,DUALC5,0.082466,0.000193024,427.15,4000,15786,0.000221691,1.45503e-07,10.4777
K,1,0,0,PRIMALC1,7.09115,0.00115205,-6162.34,396,31397,5.22671e-05,0.000480254,31.5664
S,1,0,0,PRIMALC8,13.0376,0.00071207,-18296.4,422,21064,7.23271e-05,0.00475289,22.1308
S,1,2,0,QBRANDY,0.00528795,1.86359e-07,28375.1,463,50151,0.002572,2.61843e-05,128.71
S,1,0,0,QGROW7,859.755,2.00883e-05,-4.27979e+07,878,3791,7.17225e-06,1.25456e-06,30.3472
K,1,2,0,QISRAEL,84.5152,3.33422e-06,2.53478e+07,418,50176,0.0821307,179.135,128.14
S,1,0,0,QPCBLEND,0.000517154,0.0659421,-0.00835969,107,12235,7.06865e-05,7.48684e-07,7.7654
K,0,2,0,QSHARE2B,2050.64,0.175213,9653.05,365,50104,0.306891,1.51159,58.1359
S,1,3,0,S268,0.000266452,464.926,-0.000265879,49,1329,0.000234134,1.46957e-06,0.0938378

K,1,0,0,S268,9.63592e-05,168.135,-9.57861e-05,18,146,8.15938e-05,1.56539e-07,0.0279251

S,1,0,0,CVXQP1S,1.63989,0.000141483,11589.1,1754,10393,9.99022e-05,8.10694e-08,67.6208
S,1,2,0,CVXQP3S,2.32606,0.000194757,11941.1,2671,50025,0.000320297,2.81398e-07,307.712
K,0,2,0,DUALC2,99246.7,27.9465,-95695.4,454,50016,0.385774,0.186483,20.7602
K,1,1,0,DUALC5,0.107602,0.000251859,427.125,4000,16644,0.000291107,1.7961e-07,10.7895
K,1,0,0,PRIMALC1,4.92715,0.000800479,-6150.32,322,32422,3.63171e-05,0.00016653,33.3803
S,1,0,0,PRIMALC8,2.86141,0.000156281,-18306.6,334,20350,8.44537e-05,0.000461686,20.8537
S,1,2,0,QBRANDY,0.382584,1.34831e-05,28375.5,511,50028,0.00262925,0.000194461,119.136
S,1,0,0,QGROW7,859.751,2.00882e-05,-4.27979e+07,1109,9064,9.77276e-05,1.21506e-06,65.7871
K,1,2,0,QISRAEL,86.761,3.42281e-06,2.53478e+07,404,50025,0.14931,302.672,127.337
S,1,0,0,QPCBLEND,0.00123879,0.157958,-0.00908134,107,11845,9.63181e-05,0.000577273,7.00668
K,0,2,0,QSHARE2B,2319.89,0.198219,9383.8,490,50027,0.0898448,7.73036e-05,58.265
S,1,3,0,S268,0.000187762,327.621,-0.000187189,48,1121,0.000172815,1.18047e-06,0.0542331

K,1,0,0,S268,9.63592e-05,168.135,-9.57861e-05,18,146,8.15938e-05,1.56539e-07,0.0258434

S,1,0,0,PRIMALC8,17.7578,0.000969873,-18291.7,422,21225,6.80123e-05,0.00750458,24.5717
S,1,3,0,S268,0.000187762,327.621,-0.000187189,48,1121,0.000172815,1.18047e-06,0.0548216

