System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,smw_count,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail,Krylov_fail
S,1,0,0,LISWET4,0.000528943,2.11576e-05,24.9996,43,297,624,56,77,7.62334e-07,9.81932e-11,1.00751,0,0
S,1,0,0,LISWET5,0.000528074,2.1094e-05,25.0337,43,297,509,60,70,7.60554e-07,2.22349e-10,0.96186,0,0
S,1,0,0,LISWET6,0.000566464,2.26624e-05,24.9952,43,293,781,54,76,7.64065e-07,2.50401e-10,1.17417,0,0
S,0,0,0,LISWET7,473.839,0.949879,25.0022,43,299,732,65,70,7.64849e-07,2.68559e-10,1.2481,0,0
S,0,0,0,LISWET8,7119.7,0.996501,25.0022,43,298,775,50,85,7.63405e-07,3.66957e-10,1.11611,0,0
S,1,4,0,QSCRS8,2.56595,0.00283668,907.126,404,7993,144694,3161,4820,0.660236,5327.46,10.0195,0,0
S,1,0,0,QSCSD1,1.89916e-06,2.19134e-07,8.66667,12,91,2498,51,0,1.08284e-08,3.79967e-08,0.0674993,0,0
S,1,0,0,QSCSD6,1.57761e-07,3.10503e-09,50.8082,21,343,5466,146,0,6.29659e-07,5.66693e-06,0.313342,0,0
S,0,0,0,LISWET9,1938.25,0.987265,25.0017,43,289,1785,44,116,7.81454e-07,1.2454e-10,1.52376,0,0
S,1,0,0,LOTSCHD,0.00518468,2.16171e-06,2398.41,11,18,72,8,0,7.90469e-07,8.3394e-13,0.00019125,0,0
S,1,0,0,MOSARQP1,5.80218e-06,6.08913e-09,-952.875,32,48,686,10,12,9.97867e-07,2.60902e-12,0.0585465,0,0
S,1,0,0,MOSARQP2,0.000175624,1.09938e-07,-1597.48,15,30,355,14,8,7.33557e-07,1.091e-10,0.0180544,0,0
S,1,0,0,QSCSD8,0.000332668,3.53614e-07,940.763,15,228,7420,186,0,8.30929e-07,3.26958e-07,1.12157,0,0
S,1,0,0,QSCTAP1,1.12789e-05,7.96609e-09,1415.86,22,419,7270,183,236,7.50515e-09,1.06027e-05,0.237665,0,0
S,1,0,0,QSCTAP2,3.78899e-06,2.18382e-09,1735.03,10,74,3057,40,28,1.70932e-08,9.63083e-10,0.223941,0,0
S,1,0,0,QSCTAP3,0.000163364,1.13545e-07,1438.75,17,94,4243,55,32,7.92501e-07,4.47634e-10,0.409453,0,0
S,0,0,0,POWELL20,7.7815e+09,0.149387,4.43081e+10,72,1179,1423,166,778,9.74332e-07,1.90021e-07,2.41548,0,0
S,1,0,0,PRIMAL1,2.39311e-08,6.83492e-07,-0.035013,3,10,36,3,7,3.98362e-07,7.47284e-06,0.00437512,0,0
S,1,0,0,PRIMAL2,5.24015e-09,1.55339e-07,-0.0337337,3,13,4,6,4,8.95093e-08,3.04347e-06,0.00582679,0,0
S,1,0,0,PRIMAL3,9.79535e-09,7.21542e-08,-0.135756,3,24,30,8,16,9.03839e-08,1.68023e-05,0.0186744,0,0
S,1,0,0,PRIMAL4,9.05752e-09,1.214e-08,-0.746091,3,28,44,6,22,7.23679e-07,6.70544e-05,0.0171133,0,0
S,1,0,0,PRIMALC1,0.000864754,1.4049e-07,-6155.25,30,132,87,9,116,6.53936e-07,8.78056e-11,0.00357342,0,0
S,1,0,0,PRIMALC2,0.00577032,1.62484e-06,-3551.31,18,155,251,13,134,7.31747e-07,1.67774e-06,0.00465579,0,0
S,1,0,0,PRIMALC5,0.000722162,1.69033e-06,-427.233,10,139,404,12,119,3.30213e-07,8.20442e-07,0.00809967,0,0
S,1,0,0,PRIMALC8,1.10325e-05,6.02558e-10,-18309.4,40,132,262,22,14,7.53795e-07,2.47363e-10,0.0141137,0,0
