agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
1,0,0,QSCSD6,0.0173674,0.000341823,50.7908,43,122,6.62772e-05,1.00118e-07,2.74995
1,0,0,QSCSD8,0.000971978,1.03318e-06,940.763,35,203,8.0093e-05,4.80417e-08,10.6283
1,0,0,QSCTAP1,0.0421659,2.97811e-05,1415.82,33,195,3.9988e-05,9.7751e-06,1.89604
1,0,0,QSCTAP2,0.00136185,7.84914e-07,1735.03,17,98,6.16978e-05,0.00473331,7.45417
1,0,0,QSCTAP3,0.00037658,2.6174e-07,1438.76,19,90,9.3037e-05,0.0143642,11.491
0,2,0,QSEBA,7.74381e+07,0.950373,4.04368e+06,40,504,2012.23,0.0779585,10.836
0,2,0,QSHARE1B,10291.3,0.0142919,730370,98,503,0.000239764,7.06954e-05,2.05737
0,2,0,QSHARE2B,558.532,0.0477227,11145.2,55,509,5.18442,0.415088,0.868513
0,3,0,QSHELL,5.5412e+11,0.352351,1.01852e+12,100,463,497.285,1.34196e-05,52.5085
1,2,0,QSHIP04L,803.635,0.000332078,2.41921e+06,95,508,0.00806941,9.48064e-05,17.7802
1,2,0,QSHIP04S,2003.86,0.000826338,2.42299e+06,57,500,0.0230317,9.883e-05,10.3594
1,2,0,QSHIP08L,459.822,0.000193524,2.37558e+06,77,515,0.0263346,0.000392389,130.95
1,2,0,QSHIP08S,505.119,0.000211725,2.38522e+06,55,506,0.0157216,9.56785e-05,31.37
0,2,1,QSHIP12L,123109,0.0407798,2.89577e+06,25,519,43.2266,1.07734e+06,190.748
0,2,0,QSHIP12S,129908,0.0424959,2.92705e+06,32,504,0.845462,0.33252,39.0999
1,2,0,QSIERRA,1257.43,5.29433e-05,2.37492e+07,57,505,0.999984,0.495776,16.822
1,2,0,QSTAIR,0.107153,1.34186e-08,7.98545e+06,64,522,0.000618609,0.0012748,6.40328
1,0,0,QSTANDAT,0.0599651,9.35225e-06,6411.78,27,106,4.23957e-05,0.000720121,2.96933
0,0,0,S268,2.15566,3.76136e+06,2.15566,4,10,9.95976e-05,0.0207274,0.0040213
0,2,1,STADAT1,1.13756e+07,0.398767,-1.71513e+07,17,510,1.10638,9.51343e+07,47.4461
0,2,0,STADAT2,22.7761,0.698081,-9.85061,20,507,0.0260119,1793.6,14.2239
0,2,0,STADAT3,21.8005,0.609303,-13.9789,17,510,0.00818636,980.668,30.2842
1,0,0,STCQP1,1.18448,7.63476e-06,155142,35,94,9.24323e-05,2.7886e-05,23.2185
1,0,0,STCQP2,0.100677,4.50914e-06,22327.2,40,112,7.95022e-05,4.40187e-05,37.5568
1,0,0,TAME,2.49998e-11,inf,2.49998e-11,18,9,4.04375e-05,2.73561e-11,0.0040793
0,2,0,UBH1,56.98,51.0573,58.096,66,529,0.00297436,0.00488208,80.5965
0,0,0,VALUES,0.0853119,0.0610845,-1.31131,21,47,2.97856e-05,7.62189e-12,0.312375
0,2,0,YAO,189.247,0.957223,8.45723,48,521,0.094024,0.463734,10.356
1,0,0,ZECEVIC2,2.87033e-05,6.95838e-06,-4.12503,25,7,1.43518e-05,4.55272e-05,0.006613
