System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail
S,1,0,0,QSCAGR25,348.683,1.72839e-06,2.01738e+08,48,374,4934,265,9.06709e-07,1.36664e-05,0.245817,0
S,1,0,0,QSCAGR7,55.5854,2.06899e-06,2.6866e+07,54,431,2961,143,7.86838e-07,2.61603e-06,0.0387181,0
S,1,0,0,QSCFXM1,1305.71,7.73402e-05,1.68814e+07,119,1089,11417,534,8.55382e-07,0.000260978,0.81933,0
S,1,0,0,QSCFXM2,2229.23,8.02569e-05,2.77739e+07,182,1760,24347,1159,9.62414e-07,0.00146337,3.1876,0
S,1,0,0,QSCFXM3,2511.55,8.15006e-05,3.08138e+07,192,1869,31509,1440,9.78719e-07,0.00152716,5.67186,0
S,1,0,0,QSCORPIO,0.000287642,1.52959e-07,1880.51,202,1768,8885,750,1.71e-07,8.57736e-05,0.469177,0
S,1,0,0,QSCRS8,0.0020252,2.23887e-06,904.558,86,743,12268,500,9.66015e-08,7.57768e-05,0.771065,0
S,1,0,0,QSCSD1,1.56761e-06,1.80878e-07,8.66667,26,68,3223,66,1.31483e-08,4.31961e-09,0.0602765,0
S,1,0,0,QSCSD6,3.86902e-05,7.61494e-07,50.8082,63,310,7813,177,7.84851e-07,7.35453e-07,0.331042,0
S,1,0,0,QSCSD8,0.000164682,1.75051e-07,940.763,32,202,8463,196,8.00819e-07,4.93643e-07,1.06337,0
S,0,-2,1,QSCTAP1,1e+20,7.06284e+16,1e+20,36,175,5454,173,1e+20,1e+20,0.120009,0
S,1,0,0,QSCTAP2,6.10846e-05,3.52067e-08,1735.03,21,76,3615,76,6.92635e-07,6.07282e-10,0.247732,0
S,1,0,0,QSCTAP3,0.00015097,1.04931e-07,1438.75,31,98,4773,93,7.23945e-07,3.47951e-07,0.438711,0
S,1,4,0,QSEBA,17366.2,0.000213129,8.14644e+07,5535,55147,98967,6521,0.000345399,0.00820399,60.0088,0
S,1,0,0,QSHARE1B,42.9359,5.96267e-05,720121,2479,24607,2778,464,9.97905e-07,2.89412e-06,0.850313,0
S,1,0,0,QSHARE2B,0.105567,9.01994e-06,11703.6,138,1201,5025,210,4.94858e-07,0.000275469,0.0496457,0
S,1,4,0,QSHELL,1.92374e+09,0.00122325,1.57071e+12,630,6207,186859,4027,0.993502,1.18085e+06,60.0444,0
S,1,0,0,QSHIP04L,1.80508,7.45894e-07,2.42001e+06,136,1197,25136,370,2.22755e-07,0.0011496,1.63256,0
S,1,0,0,QSHIP04S,9.14479,3.77106e-06,2.42498e+06,138,1212,22168,344,5.84817e-07,0.00179191,0.963629,0
S,1,0,0,QSHIP08L,2.29804,9.67172e-07,2.37604e+06,175,1574,51729,521,8.78215e-07,0.00280615,14.257,0
S,1,0,0,QSHIP08S,2.13978,8.9691e-07,2.38573e+06,170,1517,43259,621,5.21979e-07,0.00390082,6.62286,0
S,1,0,0,QSHIP12L,23.0465,7.63413e-06,3.01885e+06,361,3485,79199,1129,8.7679e-07,0.00515093,38.1881,0
S,1,0,0,QSHIP12S,24.7789,8.10573e-06,3.05694e+06,336,3220,48904,1048,9.58807e-07,0.00836928,11.2375,0
S,1,0,0,QSIERRA,27.6889,1.16583e-06,2.37505e+07,46,322,13856,244,1.17199e-07,6.77489e-05,0.858042,0
S,1,0,0,QSTAIR,13.412,1.67956e-06,7.98547e+06,1239,12225,48372,1406,8.77334e-07,0.00352076,3.7027,0
S,1,0,0,QSTANDAT,0.00172647,2.69262e-07,6411.84,34,143,4987,136,4.0236e-07,9.4559e-07,0.217739,0
S,1,0,0,S268,1.22694e-06,2.14086,-6.53836e-07,19,71,0,21,7.72556e-07,3.58639e-06,0.000386917,0
S,0,4,0,STADAT1,9.03781e+06,0.316818,-1.94891e+07,3886,38154,38005,28136,0.00021929,0.000417635,60.0168,0
S,0,4,0,STADAT2,16.87,0.517063,-15.7566,4873,48251,48125,48110,0.000368513,0.00247817,60.0048,0
S,0,4,0,STADAT3,33.1745,0.927195,-2.60492,2587,25476,25416,25378,0.000990237,0.00119286,60.0116,0
S,0,4,0,STCQP1,5674.39,0.0365751,149469,16,37,375,34,0.00787699,4.1273e-06,61.6889,0
S,1,0,0,STCQP2,0.021031,9.41942e-07,22327.3,34,118,1186,50,9.95808e-07,3.97251e-06,19.5293,0
S,1,0,0,TAME,2.5e-11,inf,2.5e-11,4,5,2,5,3.7762e-08,3.91468e-13,7.7583e-05,0
S,0,4,0,UBH1,2.76375,2.47648,3.87975,2089,20548,41410,1342,8.88386e-06,1.31543e-05,60.0124,0
S,0,0,0,VALUES,0.0852936,0.0610714,-1.31133,35,162,1127,46,9.10963e-07,2.85982e-07,0.0186759,0
S,0,0,0,YAO,191.92,0.970743,5.78429,341,3082,5653,1332,9.77265e-07,4.61183e-08,1.90972,0
S,1,0,0,ZECEVIC2,2.12253e-06,5.14554e-07,-4.125,4,6,0,6,5.29339e-07,1.23183e-07,6.3875e-05,0
